date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:33	259681/259681	---MCZ	200	added ('200')	text/html	date:Fri,%2012%20Mar%202021%2014:04:24%20GMT	https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE	C:/My%20Web%20Sites/Bol/www.bol.com/nl/m/cadeaubon-bestellen/indexbb2f.html	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:35	514286/514286	---M-Z	200	added ('OK')	text/css	etag:%22c80027b1eab3433e282dfb41194d1096%22	https://assets.s-bol.com/nl/static/assets/css/cms-slots.min.6a8fdd4e9c9e0f1713a5.css	C:/My%20Web%20Sites/Bol/assets.s-bol.com/nl/static/assets/css/cms-slots.min.6a8fdd4e9c9e0f1713a5.css	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:40	52457/52457	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Oct%202019%2011:28:02%20GMT	http://s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_digitale-cadeaukaart.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_digitale-cadeaukaart.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:42	56302/56302	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202019%2008:18:09%20GMT	http://s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_zakelijke-cadeaukaarten.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_zakelijke-cadeaukaarten.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:44	20583/20583	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Feb%202021%2007:17:16%20GMT	https://firefly.bol.com/js/0.3.4/performance-metrics.js	C:/My%20Web%20Sites/Bol/firefly.bol.com/js/0.3.4/performance-metrics.js	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:45	80663/80663	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202019%2008:18:09%20GMT	http://s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_alle-cadeaubonnen.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_alle-cadeaubonnen.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:46	107230/107230	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Mar%202021%2014:47:54%20GMT	https://www.bol.com/nl/static/images/giftcard/overview/saldochecker.png	C:/My%20Web%20Sites/Bol/www.bol.com/nl/static/images/giftcard/overview/saldochecker.png	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:47	144060/144060	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Apr%202019%2011:59:19%20GMT	https://www.bol.com/nl/upload/images/pages/product-finder/toys_theme_background.jpg	C:/My%20Web%20Sites/Bol/www.bol.com/nl/upload/images/pages/product-finder/toys_theme_background.jpg	(from http://css.s-bol.com/nl/cms/css/ab-test-override-a2.css?202103121500)
15:04:50	211569/211569	---MCZ	200	added ('200')	text/html	date:Fri,%2012%20Mar%202021%2014:04:46%20GMT	https://www.bol.com/nl/m/cadeaubon-bestellen/?country=NL&language=nl-NL	C:/My%20Web%20Sites/Bol/www.bol.com/nl/m/cadeaubon-bestellen/index4984.html	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE)
15:04:53	256056/256056	---MCZ	200	added ('200')	text/html	date:Fri,%2012%20Mar%202021%2014:04:46%20GMT	https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=nl-BE	C:/My%20Web%20Sites/Bol/www.bol.com/nl/m/cadeaubon-bestellen/index59ad.html	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE)
15:04:54	42155/42155	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Oct%202019%2008:18:09%20GMT	http://s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_bolcom-cadeaukaart.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/cadeaukaarten/cadeaubon-bestellen_bolcom-cadeaukaart.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/)
15:04:55	273323/273323	---MCZ	200	added ('200')	text/html	date:Fri,%2012%20Mar%202021%2014:04:47%20GMT	https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE	C:/My%20Web%20Sites/Bol/www.bol.com/nl/m/cadeaubon-bestellen/index063f.html	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE)
15:04:56	228836/228836	---MCZ	200	added ('200')	text/html	date:Fri,%2012%20Mar%202021%2014:04:48%20GMT	https://www.bol.com/nl/m/cadeaubon-bestellen/?country=NL&language=fr	C:/My%20Web%20Sites/Bol/www.bol.com/nl/m/cadeaubon-bestellen/index0f56.html	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE)
15:04:56	2907/2907	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202020%2010:08:02%20GMT	https://s.s-bol.com/nl/upload/images/pages/apps/responsive-app-page/img/app-store-badge-french.png	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/apps/responsive-app-page/img/app-store-badge-french.png	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE)
15:04:56	3145/3145	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202020%2010:08:02%20GMT	https://s.s-bol.com/nl/upload/images/pages/apps/responsive-app-page/img/google-play-badge-french.png	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/apps/responsive-app-page/img/google-play-badge-french.png	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE)
15:04:58	32970/32970	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Aug%202020%2014:49:41%20GMT	http://s.s-bol.com/nl/upload/images/pages/belgie/app_modal/wallonia_popup_slide1.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/belgie/app_modal/wallonia_popup_slide1.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE)
15:04:59	16891/16891	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2014:28:24%20GMT	http://s.s-bol.com/nl/upload/images/pages/belgie/app_modal/cart-barbie.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/belgie/app_modal/cart-barbie.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE)
15:04:59	20083/20083	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Aug%202020%2012:05:50%20GMT	http://s.s-bol.com/nl/upload/images/pages/belgie/app_modal/wallonia_popup_slide3.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/belgie/app_modal/wallonia_popup_slide3.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE)
15:05:02	98467/98467	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Aug%202020%2009:39:06%20GMT	http://s.s-bol.com/nl/upload/images/pages/belgie/app_modal/wallonia_popup_slide2.jpg	C:/My%20Web%20Sites/Bol/s.s-bol.com/nl/upload/images/pages/belgie/app_modal/wallonia_popup_slide2.jpg	(from https://www.bol.com/nl/m/cadeaubon-bestellen/?country=BE&language=fr-BE)
